tool_category,tool,total_variants,variants_with_tool_output,variants_without_tool_output,percent_with_tool_output,analysis_group,reason
Continuous deleteriousness / constraint score,gMVP,1627,403,1224,24.8,Continuous score analysis,Continuous score; no universal threshold used here
Substitution matrix / descriptive feature,BLOSUM62,1627,993,634,61,Descriptive only,"Amino-acid substitution matrix, not a pathogenicity predictor"
Gene-level intolerance / LoF metric,LoFtool,1627,1042,585,64,Gene-level/LoF supporting analysis,Gene-level LoF intolerance score
Gene-level intolerance / LoF metric,HIPred,1627,1042,585,64,Gene-level/LoF supporting analysis,Gene-level haploinsufficiency prediction
Gene-level intolerance / LoF metric,GDI,1627,1042,585,64,Gene-level/LoF supporting analysis,Gene-level damage/intolerance score
Gene-level intolerance / LoF metric,GHIS,1627,1042,585,64,Gene-level/LoF supporting analysis,Gene-level haploinsufficiency/intolerance score
Gene-level intolerance / LoF metric,Aloft,1627,42,1585,2.6,Gene-level/LoF supporting analysis,Loss-of-function/disease mechanism support
Splicing predictor,SpliceAI,1627,1440,187,88.5,Splicing-specific analysis,Predicts splice-altering potential
Splicing predictor,MaxEntScan,1627,94,1533,5.8,Splicing-specific analysis,Splice-site strength/change score
Splicing predictor,ada_score,1627,93,1534,5.7,Splicing-specific analysis,Splicing predictor
Splicing predictor,rf_score,1627,93,1534,5.7,Splicing-specific analysis,Splicing predictor
